States/UTs,Crime Head,2003
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,722
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,344
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,250
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,875
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,424
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1585
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1947
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6848
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2661
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,44
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,13
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,88
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1669
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,346
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2715
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2022
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,127
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1098
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,136
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1186
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,9
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,11
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,489
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,56
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,32939
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2286
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,0
Assam,INSULT TO THE MODESTY OF WOMEN,6
Bihar,INSULT TO THE MODESTY OF WOMEN,11
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,105
Goa,INSULT TO THE MODESTY OF WOMEN,7
Gujarat,INSULT TO THE MODESTY OF WOMEN,92
Haryana,INSULT TO THE MODESTY OF WOMEN,1302
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,18
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,376
Jharkhand,INSULT TO THE MODESTY OF WOMEN,2
Karnataka,INSULT TO THE MODESTY OF WOMEN,84
Kerala,INSULT TO THE MODESTY OF WOMEN,68
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,705
Maharashtra,INSULT TO THE MODESTY OF WOMEN,682
Manipur,INSULT TO THE MODESTY OF WOMEN,0
Meghalaya,INSULT TO THE MODESTY OF WOMEN,1
Mizoram,INSULT TO THE MODESTY OF WOMEN,0
Nagaland,INSULT TO THE MODESTY OF WOMEN,2
Odisha,INSULT TO THE MODESTY OF WOMEN,188
Punjab,INSULT TO THE MODESTY OF WOMEN,199
Rajasthan,INSULT TO THE MODESTY OF WOMEN,33
Sikkim,INSULT TO THE MODESTY OF WOMEN,0
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,881
Tripura,INSULT TO THE MODESTY OF WOMEN,0
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,4970
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,98
West Bengal,INSULT TO THE MODESTY OF WOMEN,71
A&N Islands,INSULT TO THE MODESTY OF WOMEN,2
Chandigarh,INSULT TO THE MODESTY OF WOMEN,4
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0
Delhi UT,INSULT TO THE MODESTY OF WOMEN,105
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,27
All India,INSULT TO THE MODESTY OF WOMEN,12325
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,8167
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,14
Assam,CRUELTY BY HUSBAND OR RELATIVES,1808
Bihar,CRUELTY BY HUSBAND OR RELATIVES,1880
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,601
Goa,CRUELTY BY HUSBAND OR RELATIVES,24
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,3684
Haryana,CRUELTY BY HUSBAND OR RELATIVES,1618
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,221
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,71
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,559
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,1704
Kerala,CRUELTY BY HUSBAND OR RELATIVES,2930
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2938
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,5452
Manipur,CRUELTY BY HUSBAND OR RELATIVES,4
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,4
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,3
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,0
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1289
Punjab,CRUELTY BY HUSBAND OR RELATIVES,987
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,5733
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,1
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,1555
Tripura,CRUELTY BY HUSBAND OR RELATIVES,247
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2626
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,317
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,4948
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,7
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,93
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,2
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,0
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,1211
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,1
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,4
All India,CRUELTY BY HUSBAND OR RELATIVES,50703
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,349
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,22
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,9
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,7
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,25
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,74
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,57
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,5
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,2
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,6
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1361
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,159
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,33
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,179
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,1
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,0
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,1
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,11
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,54
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,51
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,1
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,2839
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,47
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,0
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,152
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,4
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,2
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,0
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,46
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,13
All India,IMMORAL TRAFFIC(PREVENTION)ACT,5510
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,909
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,14
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,16
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,8
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,87
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,6
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1043
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,18382
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,139
Assam,TOTAL CRIMES AGAINST WOMEN,5312
Bihar,TOTAL CRIMES AGAINST WOMEN,5900
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3336
Goa,TOTAL CRIMES AGAINST WOMEN,121
Gujarat,TOTAL CRIMES AGAINST WOMEN,5735
Haryana,TOTAL CRIMES AGAINST WOMEN,4170
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,729
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,2164
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2488
Karnataka,TOTAL CRIMES AGAINST WOMEN,5834
Kerala,TOTAL CRIMES AGAINST WOMEN,5653
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,14547
Maharashtra,TOTAL CRIMES AGAINST WOMEN,11273
Manipur,TOTAL CRIMES AGAINST WOMEN,137
Meghalaya,TOTAL CRIMES AGAINST WOMEN,69
Mizoram,TOTAL CRIMES AGAINST WOMEN,147
Nagaland,TOTAL CRIMES AGAINST WOMEN,25
Odisha,TOTAL CRIMES AGAINST WOMEN,4946
Punjab,TOTAL CRIMES AGAINST WOMEN,2375
Rajasthan,TOTAL CRIMES AGAINST WOMEN,11812
Sikkim,TOTAL CRIMES AGAINST WOMEN,37
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,8888
Tripura,TOTAL CRIMES AGAINST WOMEN,537
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,12840
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,886
West Bengal,TOTAL CRIMES AGAINST WOMEN,8508
A&N Islands,TOTAL CRIMES AGAINST WOMEN,22
Chandigarh,TOTAL CRIMES AGAINST WOMEN,159
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,13
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,10
Delhi UT,TOTAL CRIMES AGAINST WOMEN,3282
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,4
Puducherry,TOTAL CRIMES AGAINST WOMEN,121
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,140601
