States/UTs,Crime Head,2001
Sikkim,KIDNAPPING & ABDUCTION,2
Tamil Nadu,KIDNAPPING & ABDUCTION,607
Tripura,KIDNAPPING & ABDUCTION,35
Uttar Pradesh,KIDNAPPING & ABDUCTION,2879
Uttarakhand,KIDNAPPING & ABDUCTION,126
West Bengal,KIDNAPPING & ABDUCTION,695
A&N Islands,KIDNAPPING & ABDUCTION,2
Chandigarh,KIDNAPPING & ABDUCTION,50
D&N Haveli,KIDNAPPING & ABDUCTION,2
Daman & Diu,KIDNAPPING & ABDUCTION,3
Delhi UT,KIDNAPPING & ABDUCTION,964
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,3
ALL INDIA K&A,KIDNAPPING & ABDUCTION,14645
Andhra Pradesh,DOWRY DEATH,420
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,59
Bihar,DOWRY DEATH,859
Chhattisgarh,DOWRY DEATH,70
Goa,DOWRY DEATH,2
Gujarat,DOWRY DEATH,67
Haryana,DOWRY DEATH,285
Himachal Pradesh,DOWRY DEATH,10
Jammu & Kashmir,DOWRY DEATH,13
Jharkhand,DOWRY DEATH,217
Karnataka,DOWRY DEATH,220
Kerala,DOWRY DEATH,27
Madhya Pradesh,DOWRY DEATH,609
Maharashtra,DOWRY DEATH,308
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,0
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,294
Punjab,DOWRY DEATH,159
Rajasthan,DOWRY DEATH,376
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,191
Tripura,DOWRY DEATH,16
Uttar Pradesh,DOWRY DEATH,2211
Uttarakhand,DOWRY DEATH,56
West Bengal,DOWRY DEATH,265
A&N Islands,DOWRY DEATH,0
Chandigarh,DOWRY DEATH,3
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,0
Delhi UT,DOWRY DEATH,113
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,1
ALL INDIA,DOWRY DEATH,6851
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3544
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,78
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,850
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,562
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1763
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,756
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,478
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,310
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,622
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,297
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1665
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1942
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7063
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2823
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,52
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1655
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,372
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2878
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1773
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2870
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,103
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,954
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,502
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34124
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2271
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,3
Assam,INSULT TO THE MODESTY OF WOMEN,4
Bihar,INSULT TO THE MODESTY OF WOMEN,21
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,161
Goa,INSULT TO THE MODESTY OF WOMEN,7
Gujarat,INSULT TO THE MODESTY OF WOMEN,111
Haryana,INSULT TO THE MODESTY OF WOMEN,401
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,14
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,288
Jharkhand,INSULT TO THE MODESTY OF WOMEN,5
Karnataka,INSULT TO THE MODESTY OF WOMEN,81
Kerala,INSULT TO THE MODESTY OF WOMEN,81
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,751
Maharashtra,INSULT TO THE MODESTY OF WOMEN,1120
Manipur,INSULT TO THE MODESTY OF WOMEN,0
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0
Mizoram,INSULT TO THE MODESTY OF WOMEN,0
Nagaland,INSULT TO THE MODESTY OF WOMEN,0
Odisha,INSULT TO THE MODESTY OF WOMEN,458
Punjab,INSULT TO THE MODESTY OF WOMEN,47
Rajasthan,INSULT TO THE MODESTY OF WOMEN,56
Sikkim,INSULT TO THE MODESTY OF WOMEN,14
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,1012
Tripura,INSULT TO THE MODESTY OF WOMEN,0
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2575
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,84
West Bengal,INSULT TO THE MODESTY OF WOMEN,48
A&N Islands,INSULT TO THE MODESTY OF WOMEN,1
Chandigarh,INSULT TO THE MODESTY OF WOMEN,15
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0
Delhi UT,INSULT TO THE MODESTY OF WOMEN,90
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,27
All India,INSULT TO THE MODESTY OF WOMEN,9746
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,5791
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,11
Assam,CRUELTY BY HUSBAND OR RELATIVES,1248
Bihar,CRUELTY BY HUSBAND OR RELATIVES,1558
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,840
Goa,CRUELTY BY HUSBAND OR RELATIVES,11
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,3667
Haryana,CRUELTY BY HUSBAND OR RELATIVES,1513
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,317
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,50
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,484
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,1755
Kerala,CRUELTY BY HUSBAND OR RELATIVES,2561
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2562
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,6090
Manipur,CRUELTY BY HUSBAND OR RELATIVES,5
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,4
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,16
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,0
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1266
Punjab,CRUELTY BY HUSBAND OR RELATIVES,1128
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,5532
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,0
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,815
Tripura,CRUELTY BY HUSBAND OR RELATIVES,227
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,7365
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,301
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,3859
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,9
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,36
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,4
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,4
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,138
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,0
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,3
All India,CRUELTY BY HUSBAND OR RELATIVES,49170
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1332
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,6
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,29
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,12
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,28
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,61
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,21
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,7
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,3
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1356
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,132
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,15
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,233
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,4
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,0
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,2
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,1
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,24
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,32
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,68
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,0
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,5232
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,26
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,0
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,31
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,3
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,3
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,95
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,39
All India,IMMORAL TRAFFIC(PREVENTION)ACT,8796
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,925
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,42
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,9
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,46
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,11
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1052
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,16477
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,180
Assam,TOTAL CRIMES AGAINST WOMEN,4243
Bihar,TOTAL CRIMES AGAINST WOMEN,5356
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3989
Goa,TOTAL CRIMES AGAINST WOMEN,83
Gujarat,TOTAL CRIMES AGAINST WOMEN,5805
Haryana,TOTAL CRIMES AGAINST WOMEN,3393
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,890
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,1656
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2229
Karnataka,TOTAL CRIMES AGAINST WOMEN,6002
Kerala,TOTAL CRIMES AGAINST WOMEN,5450
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,14549
Maharashtra,TOTAL CRIMES AGAINST WOMEN,12524
Manipur,TOTAL CRIMES AGAINST WOMEN,112
Meghalaya,TOTAL CRIMES AGAINST WOMEN,66
Mizoram,TOTAL CRIMES AGAINST WOMEN,126
Nagaland,TOTAL CRIMES AGAINST WOMEN,30
Odisha,TOTAL CRIMES AGAINST WOMEN,5357
Punjab,TOTAL CRIMES AGAINST WOMEN,2361
Rajasthan,TOTAL CRIMES AGAINST WOMEN,12175
Sikkim,TOTAL CRIMES AGAINST WOMEN,24
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,10111
Tripura,TOTAL CRIMES AGAINST WOMEN,438
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,20227
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,749
West Bengal,TOTAL CRIMES AGAINST WOMEN,6570
A&N Islands,TOTAL CRIMES AGAINST WOMEN,34
Chandigarh,TOTAL CRIMES AGAINST WOMEN,150
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,19
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,10
Delhi UT,TOTAL CRIMES AGAINST WOMEN,2291
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,0
Puducherry,TOTAL CRIMES AGAINST WOMEN,119
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,143795
