States/UTs,Crime_Head,Count,Year,Main_Category,Month,Time_of_Day,District,Latitude,Longitude,Victim_Age,Victim_Age_Group,Victim_Caste_Category,Marital_Status,Perpetrator_Relationship,Victim_Occupation,Victim_Education_Level
Haryana,KIDNAPPING & ABDUCTION,297,2001,Kidnapping & Abduction,June,Afternoon,Dhanbad,30.1730565,83.71349919,38,31-50,OBC,Married,Neighbor,Working Professional,Graduate
Himachal Pradesh,KIDNAPPING & ABDUCTION,105,2001,Kidnapping & Abduction,February,Night,Nagpur,14.44897383,78.18183571,42,31-50,OBC,Married,Stranger,Labourer,Graduate
Jammu & Kashmir,KIDNAPPING & ABDUCTION,504,2001,Kidnapping & Abduction,February,Morning,Chennai,11.48657818,86.08296068,20,18-30,SC,Unmarried,Husband,Student,Secondary
Jharkhand,KIDNAPPING & ABDUCTION,279,2001,Kidnapping & Abduction,July,Evening,Nashik,14.40338826,73.45814258,49,31-50,SC,Divorced,Relative,Labourer,Secondary
Karnataka,KIDNAPPING & ABDUCTION,271,2001,Kidnapping & Abduction,February,Morning,Kalaburagi,30.38479431,78.47545925,19,18-30,SC,Married,Stranger,Housewife,Primary
Kerala,KIDNAPPING & ABDUCTION,97,2001,Kidnapping & Abduction,June,Afternoon,Kalaburagi,32.39792296,82.49599167,41,31-50,SC,Divorced,Husband,Unknown,Primary
Madhya Pradesh,KIDNAPPING & ABDUCTION,668,2001,Kidnapping & Abduction,June,Night,Agra,30.85716584,92.0077548,28,18-30,ST,Unmarried,Relative,Housewife,Secondary
Maharashtra,KIDNAPPING & ABDUCTION,611,2001,Kidnapping & Abduction,October,Night,Dhanbad,29.46599846,75.96374049,20,18-30,ST,Widowed,Acquaintance,Student,Graduate
Manipur,KIDNAPPING & ABDUCTION,62,2001,Kidnapping & Abduction,May,Night,Thiruvananthapuram,14.77276095,87.82337701,51,51+,Unknown,Widowed,Neighbor,Housewife,Graduate
Meghalaya,KIDNAPPING & ABDUCTION,11,2001,Kidnapping & Abduction,January,Afternoon,Kota,22.17469124,96.74795629,20,18-30,OBC,Widowed,Acquaintance,Student,Secondary
Mizoram,KIDNAPPING & ABDUCTION,1,2001,Kidnapping & Abduction,December,Afternoon,Pune,25.77887903,76.23695874,16,<18,General,Unmarried,Husband,Working Professional,Graduate
Nagaland,KIDNAPPING & ABDUCTION,6,2001,Kidnapping & Abduction,August,Night,Bhopal,31.82079833,82.15248025,34,31-50,General,Married,Relative,Housewife,Secondary
Odisha,KIDNAPPING & ABDUCTION,434,2001,Kidnapping & Abduction,September,Afternoon,Agra,29.01479481,74.38699868,20,18-30,OBC,Divorced,Relative,Student,Graduate
Punjab,KIDNAPPING & ABDUCTION,324,2001,Kidnapping & Abduction,February,Afternoon,Nashik,32.75454979,68.81269593,24,18-30,OBC,Unmarried,Acquaintance,Working Professional,Secondary
Rajasthan,KIDNAPPING & ABDUCTION,2165,2001,Kidnapping & Abduction,July,Evening,Jalandhar,31.95284802,76.54940997,53,51+,ST,Widowed,Neighbor,Housewife,Secondary
Sikkim,KIDNAPPING & ABDUCTION,2,2001,Kidnapping & Abduction,February,Afternoon,Pune,25.24198791,96.84784093,28,18-30,Unknown,Unmarried,Acquaintance,Working Professional,Unknown
Tamil Nadu,KIDNAPPING & ABDUCTION,607,2001,Kidnapping & Abduction,September,Evening,Bhubaneswar,35.49173668,77.70514025,42,31-50,OBC,Married,Relative,Unemployed,Primary
Tripura,KIDNAPPING & ABDUCTION,35,2001,Kidnapping & Abduction,May,Night,Mumbai,13.03396072,72.79956437,40,31-50,Unknown,Married,Relative,Working Professional,Secondary
Uttar Pradesh,KIDNAPPING & ABDUCTION,2879,2001,Kidnapping & Abduction,November,Morning,Madurai,31.19208247,82.31258984,44,31-50,OBC,Married,Stranger,Labourer,Secondary
Uttarakhand,KIDNAPPING & ABDUCTION,126,2001,Kidnapping & Abduction,October,Afternoon,Udaipur,19.44860139,87.3553476,61,51+,General,Widowed,Husband,Unemployed,Secondary
West Bengal,KIDNAPPING & ABDUCTION,695,2001,Kidnapping & Abduction,June,Night,Mumbai,28.34681938,83.96312301,39,31-50,OBC,Married,Relative,Labourer,Secondary
A&N Islands,KIDNAPPING & ABDUCTION,2,2001,Kidnapping & Abduction,October,Night,Ranchi,21.12457315,96.03774643,19,18-30,OBC,Married,Stranger,Unemployed,Graduate
Chandigarh,KIDNAPPING & ABDUCTION,50,2001,Kidnapping & Abduction,April,Afternoon,Aligarh,16.72681356,83.49674693,57,51+,General,Widowed,Unknown,Unemployed,Primary
D&N Haveli,KIDNAPPING & ABDUCTION,2,2001,Kidnapping & Abduction,December,Morning,Raipur,35.31549282,89.27056691,20,18-30,ST,Unmarried,Husband,Student,Graduate
Daman & Diu,KIDNAPPING & ABDUCTION,3,2001,Kidnapping & Abduction,February,Morning,Chandigarh,20.51177739,71.81781167,20,18-30,Unknown,Widowed,Relative,Student,Unknown
Delhi UT,KIDNAPPING & ABDUCTION,964,2001,Kidnapping & Abduction,January,Afternoon,Howrah,18.74548276,87.13825703,22,18-30,SC,Unmarried,Relative,Unemployed,Primary
Lakshadweep,KIDNAPPING & ABDUCTION,0,2001,Kidnapping & Abduction,November,Night,Patna,8.275387344,80.77509972,29,18-30,General,Married,Neighbor,Unemployed,Secondary
Puducherry,KIDNAPPING & ABDUCTION,3,2001,Kidnapping & Abduction,April,Afternoon,Pune,30.90425668,96.89336086,20,18-30,SC,Married,Relative,Student,Graduate
ALL INDIA K&A,KIDNAPPING & ABDUCTION,14645,2001,Kidnapping & Abduction,May,Morning,Kalaburagi,8.657152978,90.18353157,64,51+,ST,Widowed,Husband,Labourer,Graduate
Andhra Pradesh,DOWRY DEATH,420,2001,Dowry-related,February,Afternoon,Howrah,26.69561447,92.11010939,20,18-30,ST,Widowed,Stranger,Student,Secondary
Arunachal Pradesh,DOWRY DEATH,0,2001,Dowry-related,April,Night,Ranchi,19.80189044,79.86743267,20,18-30,OBC,Married,Relative,Student,Primary
Assam,DOWRY DEATH,59,2001,Dowry-related,February,Morning,Jodhpur,26.86376152,88.99539588,32,31-50,SC,Married,Husband,Unknown,Secondary
Bihar,DOWRY DEATH,859,2001,Dowry-related,July,Morning,Madurai,8.359684539,73.10390397,20,18-30,General,Widowed,Acquaintance,Student,Secondary
Chhattisgarh,DOWRY DEATH,70,2001,Dowry-related,May,Morning,Cuttack,31.91696189,90.97053563,19,18-30,General,Unmarried,Neighbor,Housewife,Primary
Goa,DOWRY DEATH,2,2001,Dowry-related,August,Night,Coimbatore,30.94214975,73.27144203,22,18-30,SC,Unmarried,Stranger,Unknown,Secondary
Gujarat,DOWRY DEATH,67,2001,Dowry-related,November,Afternoon,Thiruvananthapuram,23.79360934,81.24399311,35,31-50,SC,Married,Husband,Housewife,Secondary
Haryana,DOWRY DEATH,285,2001,Dowry-related,June,Morning,Chandigarh,19.54262587,77.75402412,46,31-50,OBC,Divorced,Husband,Unknown,Primary
Himachal Pradesh,DOWRY DEATH,10,2001,Dowry-related,March,Night,Thiruvananthapuram,25.95733876,89.42833713,33,31-50,OBC,Divorced,Relative,Working Professional,Secondary
Jammu & Kashmir,DOWRY DEATH,13,2001,Dowry-related,June,Night,Pune,20.26421076,90.94590086,54,51+,General,Widowed,Relative,Labourer,Graduate
Jharkhand,DOWRY DEATH,217,2001,Dowry-related,June,Evening,Guwahati,19.11383868,72.59082047,45,31-50,Unknown,Married,Relative,Unemployed,Secondary
Karnataka,DOWRY DEATH,220,2001,Dowry-related,April,Morning,Nashik,17.24396434,95.21683439,46,31-50,Unknown,Divorced,Relative,Unknown,Unknown
Kerala,DOWRY DEATH,27,2001,Dowry-related,November,Night,Aligarh,34.15767938,88.78489761,17,<18,ST,Unmarried,Relative,Housewife,Secondary
Madhya Pradesh,DOWRY DEATH,609,2001,Dowry-related,May,Afternoon,Jodhpur,24.50552298,72.38461692,52,51+,OBC,Widowed,Acquaintance,Housewife,Primary
Maharashtra,DOWRY DEATH,308,2001,Dowry-related,December,Night,Nashik,14.18393432,75.33473272,20,18-30,SC,Married,Husband,Student,Secondary
Manipur,DOWRY DEATH,0,2001,Dowry-related,November,Night,Madurai,22.01837128,68.85043703,43,31-50,SC,Married,Stranger,Housewife,Secondary
Meghalaya,DOWRY DEATH,0,2001,Dowry-related,November,Evening,Jaipur,8.749873226,70.73103077,48,31-50,SC,Married,Stranger,Unemployed,Postgraduate
Mizoram,DOWRY DEATH,0,2001,Dowry-related,February,Morning,Raipur,13.00861008,84.27710057,20,18-30,OBC,Married,Acquaintance,Student,Secondary
Nagaland,DOWRY DEATH,0,2001,Dowry-related,October,Night,Cuttack,28.80841287,90.51000365,56,51+,OBC,Married,Acquaintance,Housewife,Secondary
Odisha,DOWRY DEATH,294,2001,Dowry-related,November,Afternoon,Kota,14.93010292,88.15921824,39,31-50,OBC,Married,Relative,Housewife,Primary
Punjab,DOWRY DEATH,159,2001,Dowry-related,March,Evening,Ranchi,36.72172058,74.85750433,38,31-50,General,Divorced,Acquaintance,Working Professional,Primary
Rajasthan,DOWRY DEATH,376,2001,Dowry-related,September,Night,Ranchi,20.11233603,71.29634181,29,18-30,OBC,Unmarried,Acquaintance,Working Professional,Graduate
Sikkim,DOWRY DEATH,0,2001,Dowry-related,December,Afternoon,Mysuru,27.0283955,68.03293887,20,18-30,OBC,Married,Relative,Student,Postgraduate
Tamil Nadu,DOWRY DEATH,191,2001,Dowry-related,April,Morning,Mysuru,30.30237022,83.88945879,23,18-30,OBC,Married,Relative,Student,Unknown
Tripura,DOWRY DEATH,16,2001,Dowry-related,March,Evening,Mumbai,32.18776527,86.39187824,38,31-50,SC,Married,Relative,Housewife,Graduate
Uttar Pradesh,DOWRY DEATH,2211,2001,Dowry-related,August,Night,Ludhiana,9.437058986,74.27438438,62,51+,Unknown,Widowed,Husband,Housewife,Primary
Uttarakhand,DOWRY DEATH,56,2001,Dowry-related,July,Evening,Dhanbad,34.9099306,93.60141192,52,51+,ST,Widowed,Unknown,Unemployed,Graduate
West Bengal,DOWRY DEATH,265,2001,Dowry-related,May,Afternoon,Vijayawada,33.2643778,83.35873472,20,18-30,OBC,Unmarried,Relative,Student,Primary
A&N Islands,DOWRY DEATH,0,2001,Dowry-related,November,Morning,Bengaluru,18.77282431,85.41325379,61,51+,General,Married,Husband,Working Professional,Primary
Chandigarh,DOWRY DEATH,3,2001,Dowry-related,December,Morning,Howrah,31.28206758,83.97174407,20,18-30,OBC,Married,Husband,Student,Secondary
D&N Haveli,DOWRY DEATH,0,2001,Dowry-related,September,Morning,Kolkata,33.49876785,68.9391577,44,31-50,OBC,Married,Unknown,Working Professional,Graduate
Daman & Diu,DOWRY DEATH,0,2001,Dowry-related,April,Morning,Mumbai,31.83963598,89.78986645,20,18-30,General,Married,Acquaintance,Student,Graduate
Delhi UT,DOWRY DEATH,113,2001,Dowry-related,November,Night,Shimla,11.75828315,91.90360097,41,31-50,General,Married,Unknown,Unknown,Graduate
Lakshadweep,DOWRY DEATH,0,2001,Dowry-related,June,Afternoon,Siliguri,19.97516862,70.34816298,23,18-30,General,Married,Husband,Unknown,Secondary
Puducherry,DOWRY DEATH,1,2001,Dowry-related,January,Evening,Guwahati,14.36288777,82.7961006,54,51+,General,Widowed,Relative,Unemployed,Primary
ALL INDIA,DOWRY DEATH,6851,2001,Dowry-related,April,Night,Nashik,33.1793892,75.79048238,33,31-50,SC,Married,Relative,Housewife,Unknown
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3544,2001,Assault & Modesty-related,January,Evening,Aligarh,31.33805256,69.78811409,24,18-30,OBC,Married,Neighbor,Working Professional,Secondary
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,78,2001,Assault & Modesty-related,June,Morning,Mysuru,22.21032992,96.11784055,45,31-50,ST,Married,Husband,Housewife,Secondary
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,850,2001,Assault & Modesty-related,July,Afternoon,Shimla,23.00558896,87.1620655,27,18-30,General,Married,Husband,Labourer,Primary
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,562,2001,Assault & Modesty-related,May,Night,Pune,25.58002515,79.62530759,64,51+,SC,Married,Husband,Working Professional,Secondary
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1763,2001,Assault & Modesty-related,February,Evening,Amritsar,29.75726468,95.13876543,20,18-30,OBC,Widowed,Husband,Student,Secondary
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,2001,Assault & Modesty-related,April,Evening,Kolkata,23.19835336,74.49067013,48,31-50,SC,Married,Acquaintance,Housewife,Graduate
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,756,2001,Assault & Modesty-related,October,Night,Agra,32.52903623,95.03128482,20,18-30,General,Widowed,Acquaintance,Student,Secondary
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,478,2001,Assault & Modesty-related,December,Evening,Ludhiana,30.68491663,79.98015896,20,18-30,SC,Married,Husband,Student,Graduate
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,310,2001,Assault & Modesty-related,June,Evening,Kalaburagi,27.20097132,71.22325826,50,31-50,ST,Divorced,Relative,Housewife,Primary
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,622,2001,Assault & Modesty-related,April,Night,Lucknow,12.47982428,88.33657047,60,51+,ST,Married,Husband,Unemployed,Primary
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,297,2001,Assault & Modesty-related,November,Afternoon,Thiruvananthapuram,33.34310225,90.95069931,20,18-30,OBC,Married,Relative,Student,Graduate
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1665,2001,Assault & Modesty-related,August,Night,Chandigarh,32.5635485,91.3802171,20,18-30,General,Married,Neighbor,Student,Secondary
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1942,2001,Assault & Modesty-related,July,Night,Lucknow,16.57302594,78.95996658,20,18-30,OBC,Married,Acquaintance,Student,Secondary
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7063,2001,Assault & Modesty-related,November,Afternoon,Visakhapatnam,23.73044743,71.4606593,35,31-50,General,Divorced,Husband,Housewife,Secondary
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2823,2001,Assault & Modesty-related,August,Evening,Nagpur,36.07580804,85.17617914,61,51+,General,Widowed,Acquaintance,Unemployed,Secondary
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21,2001,Assault & Modesty-related,March,Night,Shimla,17.57228596,91.92020648,26,18-30,Unknown,Married,Husband,Unknown,Unknown
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25,2001,Assault & Modesty-related,May,Evening,Shimla,10.92147464,91.59763425,17,<18,SC,Unmarried,Relative,Unemployed,Primary
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,52,2001,Assault & Modesty-related,March,Evening,Bengaluru,18.75391237,94.21340765,64,51+,General,Widowed,Husband,Labourer,Graduate
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6,2001,Assault & Modesty-related,April,Evening,Agra,9.657442032,95.44461936,37,31-50,OBC,Married,Husband,Labourer,Secondary
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1655,2001,Assault & Modesty-related,December,Night,Jaipur,30.71106463,76.35703218,63,51+,ST,Widowed,Relative,Labourer,Postgraduate
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,372,2001,Assault & Modesty-related,September,Afternoon,Visakhapatnam,16.98498372,89.93456838,33,31-50,OBC,Married,Unknown,Labourer,Secondary
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2878,2001,Assault & Modesty-related,September,Morning,Raipur,31.92120614,77.60007209,22,18-30,Unknown,Unmarried,Husband,Unknown,Secondary
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,2001,Assault & Modesty-related,May,Afternoon,Raipur,25.53818305,89.16206127,20,18-30,General,Married,Relative,Student,Secondary
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1773,2001,Assault & Modesty-related,December,Night,Udaipur,35.68482256,87.28685785,55,51+,SC,Widowed,Unknown,Working Professional,Secondary
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58,2001,Assault & Modesty-related,October,Afternoon,Visakhapatnam,34.71155209,83.06320789,20,18-30,OBC,Unmarried,Relative,Unemployed,Primary
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2870,2001,Assault & Modesty-related,July,Morning,Bhubaneswar,17.17609857,79.96924062,15,<18,SC,Unmarried,Unknown,Unemployed,Unknown
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,103,2001,Assault & Modesty-related,October,Afternoon,Kolkata,25.16177039,68.88132917,56,51+,OBC,Widowed,Acquaintance,Housewife,Unknown
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,954,2001,Assault & Modesty-related,July,Night,Raipur,17.27244421,78.86392246,31,31-50,OBC,Married,Unknown,Unemployed,Postgraduate
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,2001,Assault & Modesty-related,June,Evening,Bhopal,22.31634957,75.99509624,20,18-30,OBC,Unmarried,Relative,Student,Secondary
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24,2001,Assault & Modesty-related,April,Morning,Jodhpur,22.52585857,88.81520847,45,31-50,General,Married,Relative,Housewife,Secondary
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,2001,Assault & Modesty-related,March,Afternoon,Nashik,28.60348924,80.92035524,55,51+,OBC,Married,Relative,Housewife,Secondary
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,2001,Assault & Modesty-related,September,Night,Visakhapatnam,23.94207602,73.236742,20,18-30,ST,Married,Husband,Student,Unknown
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,502,2001,Assault & Modesty-related,August,Morning,Amritsar,25.10922481,86.9546223,42,31-50,OBC,Married,Husband,Working Professional,Secondary
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,2001,Assault & Modesty-related,February,Morning,Warangal,11.21680449,90.03628174,17,<18,OBC,Unmarried,Relative,Unknown,Graduate
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35,2001,Assault & Modesty-related,January,Afternoon,Shimla,21.88375913,70.5575406,63,51+,Unknown,Married,Stranger,Housewife,Primary
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34124,2001,Assault & Modesty-related,February,Night,Nagpur,36.88204051,82.479769,20,18-30,Unknown,Divorced,Husband,Student,Secondary
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2271,2001,Assault & Modesty-related,March,Night,Bengaluru,9.955691564,82.97959528,50,31-50,SC,Married,Acquaintance,Housewife,Primary
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,3,2001,Assault & Modesty-related,November,Morning,Kalaburagi,18.90722877,80.67253732,48,31-50,OBC,Married,Husband,Working Professional,Graduate
Assam,INSULT TO THE MODESTY OF WOMEN,4,2001,Assault & Modesty-related,March,Morning,Howrah,18.51158299,91.64889092,47,31-50,OBC,Married,Relative,Unemployed,Secondary
Bihar,INSULT TO THE MODESTY OF WOMEN,21,2001,Assault & Modesty-related,November,Evening,Bhopal,28.25423765,68.16259337,31,31-50,General,Widowed,Neighbor,Housewife,Graduate
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,161,2001,Assault & Modesty-related,July,Afternoon,Ranchi,29.01535897,69.76626678,44,31-50,OBC,Married,Relative,Housewife,Secondary
Goa,INSULT TO THE MODESTY OF WOMEN,7,2001,Assault & Modesty-related,October,Evening,Kolkata,23.20852763,93.52958441,57,51+,OBC,Widowed,Relative,Housewife,Unknown
Gujarat,INSULT TO THE MODESTY OF WOMEN,111,2001,Assault & Modesty-related,February,Morning,Ranchi,15.32253184,74.47828194,25,18-30,Unknown,Unmarried,Neighbor,Housewife,Postgraduate
