STATE/UT,CRIME HEAD,year,State/UTs,Crime Head,States/UTs
Assam,DOWRY DEATH,2001,,,
Bihar,DOWRY DEATH,2001,,,
Chhattisgarh,DOWRY DEATH,2001,,,
Goa,DOWRY DEATH,2001,,,
Gujarat,DOWRY DEATH,2001,,,
Haryana,DOWRY DEATH,2001,,,
Himachal Pradesh,DOWRY DEATH,2001,,,
Jammu & Kashmir,DOWRY DEATH,2001,,,
Jharkhand,DOWRY DEATH,2001,,,
Karnataka,DOWRY DEATH,2001,,,
Kerala,DOWRY DEATH,2001,,,
Madhya Pradesh,DOWRY DEATH,2001,,,
Maharashtra,DOWRY DEATH,2001,,,
Manipur,DOWRY DEATH,2001,,,
Meghalaya,DOWRY DEATH,2001,,,
Mizoram,DOWRY DEATH,2001,,,
Nagaland,DOWRY DEATH,2001,,,
Odisha,DOWRY DEATH,2001,,,
Punjab,DOWRY DEATH,2001,,,
Rajasthan,DOWRY DEATH,2001,,,
Sikkim,DOWRY DEATH,2001,,,
Tamil Nadu,DOWRY DEATH,2001,,,
Tripura,DOWRY DEATH,2001,,,
Uttar Pradesh,DOWRY DEATH,2001,,,
Uttarakhand,DOWRY DEATH,2001,,,
West Bengal,DOWRY DEATH,2001,,,
A&N Islands,DOWRY DEATH,2001,,,
Chandigarh,DOWRY DEATH,2001,,,
D&N Haveli,DOWRY DEATH,2001,,,
Daman & Diu,DOWRY DEATH,2001,,,
Delhi UT,DOWRY DEATH,2001,,,
Lakshadweep,DOWRY DEATH,2001,,,
Puducherry,DOWRY DEATH,2001,,,
ALL INDIA,DOWRY DEATH,2001,,,
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,,,
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2001,,,
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,2001,,,
Assam,INSULT TO THE MODESTY OF WOMEN,2001,,,
Bihar,INSULT TO THE MODESTY OF WOMEN,2001,,,
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,2001,,,
Goa,INSULT TO THE MODESTY OF WOMEN,2001,,,
Gujarat,INSULT TO THE MODESTY OF WOMEN,2001,,,
Haryana,INSULT TO THE MODESTY OF WOMEN,2001,,,
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,2001,,,
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,2001,,,
Jharkhand,INSULT TO THE MODESTY OF WOMEN,2001,,,
Karnataka,INSULT TO THE MODESTY OF WOMEN,2001,,,
Kerala,INSULT TO THE MODESTY OF WOMEN,2001,,,
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,2001,,,
Maharashtra,INSULT TO THE MODESTY OF WOMEN,2001,,,
Manipur,INSULT TO THE MODESTY OF WOMEN,2001,,,
Meghalaya,INSULT TO THE MODESTY OF WOMEN,2001,,,
Mizoram,INSULT TO THE MODESTY OF WOMEN,2001,,,
Nagaland,INSULT TO THE MODESTY OF WOMEN,2001,,,
Odisha,INSULT TO THE MODESTY OF WOMEN,2001,,,
Punjab,INSULT TO THE MODESTY OF WOMEN,2001,,,
Rajasthan,INSULT TO THE MODESTY OF WOMEN,2001,,,
Sikkim,INSULT TO THE MODESTY OF WOMEN,2001,,,
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,2001,,,
Tripura,INSULT TO THE MODESTY OF WOMEN,2001,,,
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2001,,,
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,2001,,,
West Bengal,INSULT TO THE MODESTY OF WOMEN,2001,,,
A&N Islands,INSULT TO THE MODESTY OF WOMEN,2001,,,
Chandigarh,INSULT TO THE MODESTY OF WOMEN,2001,,,
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,2001,,,
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,2001,,,
Delhi UT,INSULT TO THE MODESTY OF WOMEN,2001,,,
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,2001,,,
Puducherry,INSULT TO THE MODESTY OF WOMEN,2001,,,
All India,INSULT TO THE MODESTY OF WOMEN,2001,,,
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Assam,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Bihar,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Goa,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Haryana,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Kerala,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Manipur,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Odisha,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Punjab,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Tripura,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
All India,CRUELTY BY HUSBAND OR RELATIVES,2001,,,
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
All India,IMMORAL TRAFFIC(PREVENTION)ACT,2001,,,
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2001,,,
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,2001,,,
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,2001,,,
Assam,TOTAL CRIMES AGAINST WOMEN,2001,,,
Bihar,TOTAL CRIMES AGAINST WOMEN,2001,,,
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,2001,,,
Goa,TOTAL CRIMES AGAINST WOMEN,2001,,,
Gujarat,TOTAL CRIMES AGAINST WOMEN,2001,,,
Haryana,TOTAL CRIMES AGAINST WOMEN,2001,,,
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,2001,,,
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,2001,,,
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2001,,,
Karnataka,TOTAL CRIMES AGAINST WOMEN,2001,,,
Kerala,TOTAL CRIMES AGAINST WOMEN,2001,,,
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,2001,,,
Maharashtra,TOTAL CRIMES AGAINST WOMEN,2001,,,
Manipur,TOTAL CRIMES AGAINST WOMEN,2001,,,
Meghalaya,TOTAL CRIMES AGAINST WOMEN,2001,,,
Mizoram,TOTAL CRIMES AGAINST WOMEN,2001,,,
Nagaland,TOTAL CRIMES AGAINST WOMEN,2001,,,
Odisha,TOTAL CRIMES AGAINST WOMEN,2001,,,
Punjab,TOTAL CRIMES AGAINST WOMEN,2001,,,
Rajasthan,TOTAL CRIMES AGAINST WOMEN,2001,,,
Sikkim,TOTAL CRIMES AGAINST WOMEN,2001,,,
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,2001,,,
Tripura,TOTAL CRIMES AGAINST WOMEN,2001,,,
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,2001,,,
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,2001,,,
West Bengal,TOTAL CRIMES AGAINST WOMEN,2001,,,
A&N Islands,TOTAL CRIMES AGAINST WOMEN,2001,,,
Chandigarh,TOTAL CRIMES AGAINST WOMEN,2001,,,
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,2001,,,
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,2001,,,
Delhi UT,TOTAL CRIMES AGAINST WOMEN,2001,,,
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,2001,,,
Puducherry,TOTAL CRIMES AGAINST WOMEN,2001,,,
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,2001,,,
Andhra Pradesh,RAPE,2002,,,
Arunachal Pradesh,RAPE,2002,,,
Assam,RAPE,2002,,,
Bihar,RAPE,2002,,,
Chhattisgarh,RAPE,2002,,,
Goa,RAPE,2002,,,
Gujarat,RAPE,2002,,,
Haryana,RAPE,2002,,,
Himachal Pradesh,RAPE,2002,,,
Jammu & Kashmir,RAPE,2002,,,
Jharkhand,RAPE,2002,,,
Karnataka,RAPE,2002,,,
Kerala,RAPE,2002,,,
Madhya Pradesh,RAPE,2002,,,
Maharashtra,RAPE,2002,,,
Manipur,RAPE,2002,,,
Meghalaya,RAPE,2002,,,
Mizoram,RAPE,2002,,,
Nagaland,RAPE,2002,,,
Odisha,RAPE,2002,,,
Punjab,RAPE,2002,,,
Rajasthan,RAPE,2002,,,
Sikkim,RAPE,2002,,,
Tamil Nadu,RAPE,2002,,,
Tripura,RAPE,2002,,,
Uttar Pradesh,RAPE,2002,,,
Uttarakhand,RAPE,2002,,,
West Bengal,RAPE,2002,,,
A&N Islands,RAPE,2002,,,
Chandigarh,RAPE,2002,,,
D&N Haveli,RAPE,2002,,,
Daman & Diu,RAPE,2002,,,
Delhi UT,RAPE,2002,,,
Lakshadweep,RAPE,2002,,,
Puducherry,RAPE,2002,,,
All India,RAPE,2002,,,
Andhra Pradesh,KIDNAPPING & ABDUCTION,2002,,,
Arunachal Pradesh,KIDNAPPING & ABDUCTION,2002,,,
Assam,KIDNAPPING & ABDUCTION,2002,,,
Bihar,KIDNAPPING & ABDUCTION,2002,,,
Chhattisgarh,KIDNAPPING & ABDUCTION,2002,,,
Goa,KIDNAPPING & ABDUCTION,2002,,,
Gujarat,KIDNAPPING & ABDUCTION,2002,,,
Haryana,KIDNAPPING & ABDUCTION,2002,,,
Himachal Pradesh,KIDNAPPING & ABDUCTION,2002,,,
Jammu & Kashmir,KIDNAPPING & ABDUCTION,2002,,,
Jharkhand,KIDNAPPING & ABDUCTION,2002,,,
Karnataka,KIDNAPPING & ABDUCTION,2002,,,
Kerala,KIDNAPPING & ABDUCTION,2002,,,
Madhya Pradesh,KIDNAPPING & ABDUCTION,2002,,,
Maharashtra,KIDNAPPING & ABDUCTION,2002,,,
Manipur,KIDNAPPING & ABDUCTION,2002,,,
Meghalaya,KIDNAPPING & ABDUCTION,2002,,,
Mizoram,KIDNAPPING & ABDUCTION,2002,,,
Nagaland,KIDNAPPING & ABDUCTION,2002,,,
Odisha,KIDNAPPING & ABDUCTION,2002,,,
Punjab,KIDNAPPING & ABDUCTION,2002,,,
Rajasthan,KIDNAPPING & ABDUCTION,2002,,,
Sikkim,KIDNAPPING & ABDUCTION,2002,,,
Tamil Nadu,KIDNAPPING & ABDUCTION,2002,,,
Tripura,KIDNAPPING & ABDUCTION,2002,,,
Uttar Pradesh,KIDNAPPING & ABDUCTION,2002,,,
Uttarakhand,KIDNAPPING & ABDUCTION,2002,,,
West Bengal,KIDNAPPING & ABDUCTION,2002,,,
A&N Islands,KIDNAPPING & ABDUCTION,2002,,,
Chandigarh,KIDNAPPING & ABDUCTION,2002,,,
D&N Haveli,KIDNAPPING & ABDUCTION,2002,,,
Daman & Diu,KIDNAPPING & ABDUCTION,2002,,,
Delhi UT,KIDNAPPING & ABDUCTION,2002,,,
Lakshadweep,KIDNAPPING & ABDUCTION,2002,,,
Puducherry,KIDNAPPING & ABDUCTION,2002,,,
ALL INDIA K&A,KIDNAPPING & ABDUCTION,2002,,,
Andhra Pradesh,DOWRY DEATH,2002,,,
Arunachal Pradesh,DOWRY DEATH,2002,,,
Assam,DOWRY DEATH,2002,,,
Bihar,DOWRY DEATH,2002,,,
Chhattisgarh,DOWRY DEATH,2002,,,
Goa,DOWRY DEATH,2002,,,
Gujarat,DOWRY DEATH,2002,,,
Haryana,DOWRY DEATH,2002,,,
Himachal Pradesh,DOWRY DEATH,2002,,,
Jammu & Kashmir,DOWRY DEATH,2002,,,
Jharkhand,DOWRY DEATH,2002,,,
Karnataka,DOWRY DEATH,2002,,,
Kerala,DOWRY DEATH,2002,,,
Madhya Pradesh,DOWRY DEATH,2002,,,
Maharashtra,DOWRY DEATH,2002,,,
Manipur,DOWRY DEATH,2002,,,
Meghalaya,DOWRY DEATH,2002,,,
Mizoram,DOWRY DEATH,2002,,,
Nagaland,DOWRY DEATH,2002,,,
Odisha,DOWRY DEATH,2002,,,
Punjab,DOWRY DEATH,2002,,,
Rajasthan,DOWRY DEATH,2002,,,
Sikkim,DOWRY DEATH,2002,,,
Tamil Nadu,DOWRY DEATH,2002,,,
Tripura,DOWRY DEATH,2002,,,
Uttar Pradesh,DOWRY DEATH,2002,,,
Uttarakhand,DOWRY DEATH,2002,,,
West Bengal,DOWRY DEATH,2002,,,
A&N Islands,DOWRY DEATH,2002,,,
Chandigarh,DOWRY DEATH,2002,,,
D&N Haveli,DOWRY DEATH,2002,,,
Daman & Diu,DOWRY DEATH,2002,,,
Delhi UT,DOWRY DEATH,2002,,,
Lakshadweep,DOWRY DEATH,2002,,,
Puducherry,DOWRY DEATH,2002,,,
ALL INDIA,DOWRY DEATH,2002,,,
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2002,,,
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2002,,,
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2002,,,
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2002,,,
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2002,,,
